,0
age_x_steps,0.44189485343314056
n_nights,0.1272721574552992
std_daily_steps,0.10908819074753855
self_rated_health,0.09703103932117492
bmi,0.053632007895727224
mean_daily_steps,0.03649405491679236
mean_resting_hr,0.02734150058699579
drinks_per_week,0.022495765561910897
deprivation_index,0.02129569145857282
age,0.02084042282253519
bmi_x_steps,0.016935868081850797
pct_active_days,0.01651750045934864
hr_missing,0.00392458670313569
female,0.0032406596022799376
ses_missing,0.0013210622960118659
nonbinary,0.000488841924199352
steps_missing,0.00018579673348616344
current_smoker,0.0
